id	organism name	file	accession number	sequences	base pair	DIV	submitted	updated	BioProject	BioSample	SRA	domain	phylum	class	order	family	genus
18	Listeria monocytogenes	AAAABQ.gz	AAAABQ010000001-AAAABQ010000051	51	2893808	BCT	2018-11-09	2019-02-01	PRJNA212117	SAMN10407505	SRR8180405	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
19	Listeria monocytogenes	AAAABR.gz	AAAABR010000001-AAAABR010000020	20	3252909	BCT	2018-11-09	2019-02-01	PRJNA212117	SAMN10407507	SRR8180452	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
20	Listeria monocytogenes	AAAABS.gz	AAAABS010000001-AAAABS010000014	14	2927138	BCT	2018-11-13	2020-03-09	PRJNA215355	SAMN02922242	SRR3945605	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
21	Listeria monocytogenes	AAAABT.gz	AAAABT010000001-AAAABT010000020	20	2917299	BCT	2018-11-13	2020-03-09	PRJNA215355	SAMN05382649	SRR8182730	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
22	Listeria monocytogenes	AAAABU.gz	AAAABU010000001-AAAABU010000087	87	3064384	BCT	2018-11-13	2020-03-09	PRJNA215355	SAMN10382278	SRR8184196	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
23	Listeria monocytogenes	AAAABV.gz	AAAABV010000001-AAAABV010000116	116	3074387	BCT	2018-11-13	2020-03-09	PRJNA215355	SAMN10382436	SRR8184469	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
24	Listeria monocytogenes	AAAABW.gz	AAAABW010000001-AAAABW010000017	17	2879446	BCT	2018-11-19	2019-02-01	PRJNA212117	SAMN10441841	SRR8207919	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
25	Listeria monocytogenes	AAAABX.gz	AAAABX010000001-AAAABX010000048	48	2962272	BCT	2018-11-20	2019-02-01	PRJNA212117	SAMN10449225	SRR8209197	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
26	Listeria monocytogenes	AAAABY.gz	AAAABY010000001-AAAABY010000032	32	2933619	BCT	2018-11-20	2019-02-01	PRJNA212117	SAMN10449224	SRR8209201	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
27	Listeria monocytogenes	AAAABZ.gz	AAAABZ010000001-AAAABZ010000032	32	3029587	BCT	2018-11-20	2020-03-09	PRJNA215355	SAMN02922404	SRR8216307	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
28	Listeria monocytogenes	AAAACA.gz	AAAACA010000001-AAAACA010000025	25	3052194	BCT	2018-11-21	2020-03-09	PRJNA215355	SAMN02922409	SRR8235343	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
29	Listeria monocytogenes	AAAACB.gz	AAAACB010000001-AAAACB010000053	53	2996392	BCT	2018-11-21	2020-03-09	PRJNA215355	SAMN02921574	SRR8235427	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
30	Listeria monocytogenes	AAAACC.gz	AAAACC010000001-AAAACC010000023	23	2909761	BCT	2018-11-21	2020-03-09	PRJNA215355	SAMN02937499	SRR8235534	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
31	Listeria monocytogenes	AAAACD.gz	AAAACD010000001-AAAACD010000022	22	3078203	BCT	2018-11-21	2020-03-09	PRJNA215355	SAMN02923015	SRR8235625	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
32	Listeria monocytogenes	AAAACE.gz	AAAACE010000001-AAAACE010000069	69	2942582	BCT	2018-11-21	2020-03-09	PRJNA215355	SAMN02921699	SRR8236041	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
33	Listeria monocytogenes	AAAACF.gz	AAAACF010000001-AAAACF010000020	20	3204770	BCT	2018-11-23	2020-03-09	PRJNA215355	SAMN02923550	SRR8239073	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
34	Listeria monocytogenes	AAAACG.gz	AAAACG010000001-AAAACG010000029	29	3052745	BCT	2018-11-23	2020-03-09	PRJNA215355	SAMN02923461	SRR8239115	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
35	Listeria monocytogenes	AAAACH.gz	AAAACH010000001-AAAACH010000024	24	3036100	BCT	2018-11-27	2019-02-01	PRJNA212117	SAMN10484768	SRR8246774	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
36	Listeria innocua	AAAACI.gz	AAAACI010000001-AAAACI010000096	96	2904578	BCT	2018-11-27	2020-03-09	PRJNA215355	SAMN10485194	SRR8247390	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
37	Listeria monocytogenes	AAAACJ.gz	AAAACJ010000001-AAAACJ010000130	130	3027569	BCT	2018-11-27	2020-03-09	PRJNA215355	SAMN10485221	SRR8247558	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
38	Listeria monocytogenes	AAAACK.gz	AAAACK010000001-AAAACK010000013	13	2971004	BCT	2018-09-07	2019-02-06	PRJNA212117	SAMN09990467	SRR7804152	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
39	Listeria monocytogenes	AAAACL.gz	AAAACL010000001-AAAACL010000079	79	3150289	BCT	2018-09-10	2019-02-06	PRJNA212117	SAMN10026109	SRR7814062	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
40	Listeria monocytogenes	AAAACM.gz	AAAACM010000001-AAAACM010000025	25	3168239	BCT	2018-09-10	2019-02-06	PRJNA212117	SAMN10026123	SRR7814059	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
41	Listeria monocytogenes	AAAACN.gz	AAAACN010000001-AAAACN010000135	135	2998048	BCT	2018-09-17	2019-02-06	PRJNA212117	SAMN10078579	SRR7853564	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
42	Listeria monocytogenes	AAAACO.gz	AAAACO010000001-AAAACO010000050	50	2936579	BCT	2018-09-18	2019-02-06	PRJNA212117	SAMN10081728	SRR7868420	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
43	Listeria monocytogenes	AAAACP.gz	AAAACP010000001-AAAACP010000081	81	3012368	BCT	2018-09-04	2019-02-06	PRJNA212117	SAMN09951302	SRR7781532	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
44	Listeria monocytogenes	AAAACQ.gz	AAAACQ010000001-AAAACQ010000030	30	3041542	BCT	2018-09-12	2019-02-06	PRJNA212117	SAMN10039739	SRR7823375	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
45	Listeria monocytogenes	AAAACR.gz	AAAACR010000001-AAAACR010000027	27	2999882	BCT	2018-10-10	2019-02-06	PRJNA212117	SAMN10228373	SRR7993651	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
46	Listeria monocytogenes	AAAACS.gz	AAAACS010000001-AAAACS010000093	93	2962973	BCT	2018-10-05	2019-02-06	PRJNA212117	SAMN10182665	SRR7971116	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
47	Listeria monocytogenes	AAAACT.gz	AAAACT010000001-AAAACT010000021	21	3082969	BCT	2018-09-10	2019-02-06	PRJNA212117	SAMN10026138	SRR7814058	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
48	Listeria monocytogenes	AAAACU.gz	AAAACU010000001-AAAACU010000017	17	2933201	BCT	2018-09-12	2019-02-06	PRJNA212117	SAMN10037442	SRR7821171	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
49	Listeria monocytogenes	AAAACV.gz	AAAACV010000001-AAAACV010000017	17	2873522	BCT	2018-09-28	2019-02-06	PRJNA212117	SAMN10141865	SRR7939282	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
50	Listeria monocytogenes	AAAACW.gz	AAAACW010000001-AAAACW010000049	49	3180900	BCT	2018-10-15	2019-02-06	PRJNA212117	SAMN10241672	SRR8055294	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
51	Listeria monocytogenes	AAAACX.gz	AAAACX010000001-AAAACX010000053	53	3179791	BCT	2018-10-15	2019-02-06	PRJNA212117	SAMN10241704	SRR8056393	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
52	Listeria monocytogenes	AAAACY.gz	AAAACY010000001-AAAACY010000023	23	2964233	BCT	2018-10-15	2019-02-06	PRJNA212117	SAMN10241673	SRR8055313	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
53	Listeria monocytogenes	AAAACZ.gz	AAAACZ010000001-AAAACZ010000017	17	3019378	BCT	2018-10-15	2019-02-06	PRJNA215355	SAMN10241720	SRR8056663	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
54	Listeria monocytogenes	AAAADA.gz	AAAADA010000001-AAAADA010000060	60	3079579	BCT	2018-10-21	2020-03-09	PRJNA215355	SAMN10251093	SRR8082441	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
55	Listeria monocytogenes	AAAADB.gz	AAAADB010000001-AAAADB010000064	64	3064795	BCT	2018-10-16	2019-02-06	PRJNA212117	SAMN10243024	SRR8058384	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
56	Listeria monocytogenes	AAAADC.gz	AAAADC010000001-AAAADC010000028	28	3077400	BCT	2018-10-30	2020-03-09	PRJNA215355	SAMN10129649	SRR7942819	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
57	Listeria monocytogenes	AAAADD.gz	AAAADD010000001-AAAADD010000014	14	2960447	BCT	2018-10-18	2019-02-06	PRJNA212117	SAMN10256263	SRR8074745	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
58	Listeria monocytogenes	AAAADE.gz	AAAADE010000001-AAAADE010000030	30	3016885	BCT	2018-10-15	2019-02-06	PRJNA215355	SAMN10241719	SRR8056662	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
59	Listeria monocytogenes serotype 1/2a	AAAADF.gz	AAAADF010000001-AAAADF010000015	15	2948252	BCT	2018-10-15	2019-02-06	PRJNA215355	SAMN07831580	SRR6212584	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
60	Listeria monocytogenes	AAAADG.gz	AAAADG010000001-AAAADG010000076	76	3061987	BCT	2018-10-21	2020-03-09	PRJNA215355	SAMN10251092	SRR8082580	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
61	Listeria monocytogenes	AAAADH.gz	AAAADH010000001-AAAADH010000103	103	2914677	BCT	2018-09-21	2020-03-09	PRJNA215355	SAMN10034601	SRR7889302	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
62	Listeria monocytogenes	AAAADI.gz	AAAADI010000001-AAAADI010000026	26	3092329	BCT	2018-09-28	2020-03-09	PRJNA215355	SAMN02921526	SRR7942820	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
63	Listeria monocytogenes	AAAADJ.gz	AAAADJ010000001-AAAADJ010000217	217	2907729	BCT	2018-10-09	2020-03-09	PRJNA215355	SAMN02922241	SRR7989179	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
64	Listeria monocytogenes	AAAADK.gz	AAAADK010000001-AAAADK010000017	17	3039395	BCT	2018-09-11	2020-03-09	PRJNA215355	SAMN09788588	SRR7819951	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
65	Listeria monocytogenes	AAAADL.gz	AAAADL010000001-AAAADL010000026	26	3191616	BCT	2018-09-28	2020-03-09	PRJNA215355	SAMN02923285	SRR7942844	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
66	Listeria monocytogenes	AAAADM.gz	AAAADM010000001-AAAADM010000038	38	3099651	BCT	2018-09-06	2020-03-09	PRJNA215355	SAMN02923121	SRR7702527	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
67	Listeria monocytogenes	AAAADN.gz	AAAADN010000001-AAAADN010000023	23	3138223	BCT	2018-09-14	2019-02-06	PRJNA215355	SAMN10060584	SRR7829613	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
68	Listeria monocytogenes	AAAADO.gz	AAAADO010000001-AAAADO010000092	92	3124200	BCT	2018-09-21	2020-03-09	PRJNA215355	SAMN02922228	SRR7889354	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
69	Listeria monocytogenes	AAAADP.gz	AAAADP010000001-AAAADP010000023	23	3070608	BCT	2018-09-07	2020-03-09	PRJNA215355	SAMN02921619	SRR7799336	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
70	Listeria monocytogenes	AAAADQ.gz	AAAADQ010000001-AAAADQ010000020	20	3082758	BCT	2018-09-11	2020-03-09	PRJNA215355	SAMN09788590	SRR7819949	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
71	Listeria monocytogenes	AAAADR.gz	AAAADR010000001-AAAADR010000018	18	3041220	BCT	2018-09-11	2020-03-09	PRJNA215355	SAMN09788586	SRR7819950	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
72	Listeria monocytogenes	AAAADS.gz	AAAADS010000001-AAAADS010000030	30	3054382	BCT	2018-06-27	2020-03-09	PRJNA215355	SAMN02923204	SRR2071980	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
73	Listeria monocytogenes	AAAADT.gz	AAAADT010000001-AAAADT010000030	30	3028209	BCT	2018-06-27	2020-03-09	PRJNA215355	SAMN02922119	SRR3634438	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
74	Listeria monocytogenes	AAAADU.gz	AAAADU010000001-AAAADU010000032	32	3088395	BCT	2018-06-27	2020-03-09	PRJNA215355	SAMN04192059	SRR2878354	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
75	Listeria monocytogenes	AAAADV.gz	AAAADV010000001-AAAADV010000031	31	3050208	BCT	2018-06-27	2020-03-09	PRJNA215355	SAMN04192061	SRR2878356	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
76	Listeria monocytogenes	AAAADW.gz	AAAADW010000001-AAAADW010000026	26	3068000	BCT	2018-06-27	2020-03-09	PRJNA215355	SAMN04192085	SRR2905964	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
77	Listeria monocytogenes	AAAADX.gz	AAAADX010000001-AAAADX010000021	21	3037145	BCT	2018-06-27	2020-03-09	PRJNA215355	SAMN02922713	SRR3579421	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
78	Listeria monocytogenes	AAAADY.gz	AAAADY010000001-AAAADY010000028	28	3061666	BCT	2018-06-27	2020-03-09	PRJNA215355	SAMN02922121	SRR3634440	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
79	Listeria monocytogenes	AAAAEA.gz	AAAAEA010000001-AAAAEA010000041	41	3016278	BCT	2018-06-27	2020-03-09	PRJNA215355	SAMN04192058	SRR2878353	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
80	Listeria monocytogenes	AAAAEB.gz	AAAAEB010000001-AAAAEB010000016	16	3007263	BCT	2018-06-27	2019-02-06	PRJNA215355	SAMN03736707	SRR3173676	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
81	Listeria monocytogenes	AAAAEC.gz	AAAAEC010000001-AAAAEC010000030	30	3176875	BCT	2018-08-22	2020-03-09	PRJNA215355	SAMN06029302	SRR5056541	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
82	Listeria monocytogenes	AAAAED.gz	AAAAED020000001-AAAAED020000102	102	3055051	BCT	2018-07-02	2020-12-31	PRJNA215355	SAMN03565646	SRR5311183	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
83	Listeria monocytogenes	AAAAEE.gz	AAAAEE040000001-AAAAEE040000052	52	3228751	BCT	2018-08-22	2024-07-19	PRJNA215355	SAMN06029259	SRR5056323	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
84	Listeria monocytogenes	AAAAEF.gz	AAAAEF010000001-AAAAEF010000018	18	2993893	BCT	2018-08-22	2019-02-06	PRJNA215355	SAMN03702788	SRR5221990	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
85	Listeria monocytogenes	AAAAEG.gz	AAAAEG010000001-AAAAEG010000053	53	3129113	BCT	2018-08-23	2019-02-06	PRJNA215355	SAMN06330528	SRR5278962	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
86	Listeria monocytogenes	AAAAEH.gz	AAAAEH010000001-AAAAEH010000089	89	3125771	BCT	2018-08-23	2019-02-06	PRJNA215355	SAMN06330609	SRR5292100	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
87	Listeria monocytogenes	AAAAEI.gz	AAAAEI010000001-AAAAEI010000088	88	3199200	BCT	2018-08-23	2019-02-06	PRJNA215355	SAMN06555534	SRR5409482	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
88	Listeria monocytogenes	AAAAEJ.gz	AAAAEJ010000001-AAAAEJ010000047	47	2964338	BCT	2018-08-23	2019-02-06	PRJNA215355	SAMN06555610	SRR5341775	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
89	Listeria monocytogenes	AAAAEK.gz	AAAAEK010000001-AAAAEK010000140	140	3164235	BCT	2018-08-23	2019-02-06	PRJNA215355	SAMN06555583	SRR5341742	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
90	Listeria monocytogenes	AAAAEL.gz	AAAAEL010000001-AAAAEL010000021	21	3079476	BCT	2018-09-06	2020-03-09	PRJNA215355	SAMN02922883	SRR6303974	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
91	Listeria monocytogenes	AAAAEM.gz	AAAAEM010000001-AAAAEM010000268	268	3365444	BCT	2018-08-23	2019-02-06	PRJNA215355	SAMN06330577	SRR5292084	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
92	Listeria monocytogenes	AAAAEN.gz	AAAAEN010000001-AAAAEN010000132	132	3231317	BCT	2018-08-23	2019-02-06	PRJNA215355	SAMN06555564	SRR5353288	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
93	Listeria monocytogenes	AAAAEO.gz	AAAAEO010000001-AAAAEO010000098	98	3017763	BCT	2018-08-22	2020-03-09	PRJNA215355	SAMN02923100	SRR5571293	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
94	Listeria monocytogenes	AAAAEP.gz	AAAAEP010000001-AAAAEP010000030	30	3049638	BCT	2018-06-27	2020-03-09	PRJNA215355	SAMN04192088	SRR2905965	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
95	Listeria monocytogenes	AAAAEQ.gz	AAAAEQ010000001-AAAAEQ010000015	15	3052928	BCT	2018-09-06	2020-03-09	PRJNA215355	SAMN02922980	SRR5811620	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
96	Listeria monocytogenes	AAAAER.gz	AAAAER010000001-AAAAER010000026	26	3058367	BCT	2018-08-29	2019-02-06	PRJNA215355	SAMN02769700	SRR1481686	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
97	Listeria monocytogenes	AAAAES.gz	AAAAES010000001-AAAAES010000037	37	3050435	BCT	2018-08-22	2019-02-06	PRJNA215355	SAMN02729959	SRR1264949	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
98	Listeria monocytogenes	AAAAET.gz	AAAAET010000001-AAAAET010000025	25	3096773	BCT	2018-08-22	2019-02-06	PRJNA215355	SAMN02569898	SRR1509622	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
99	Listeria monocytogenes	AAAAEU.gz	AAAAEU010000001-AAAAEU010000029	29	3199077	BCT	2018-06-27	2019-02-06	PRJNA215355	SAMN03921967	SRR3611769	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
100	Listeria monocytogenes	AAAAEV.gz	AAAAEV010000001-AAAAEV010000031	31	3220253	BCT	2018-08-22	2019-02-06	PRJNA215355	SAMN02569893	SRR1509578	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
101	Listeria monocytogenes	AAAAEW.gz	AAAAEW010000001-AAAAEW010000019	19	3150698	BCT	2018-08-22	2020-03-09	PRJNA215355	SAMN04592639	SRR3321305	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
102	Listeria monocytogenes	AAAAEX.gz	AAAAEX010000001-AAAAEX010000018	18	3180621	BCT	2018-08-22	2019-02-06	PRJNA215355	SAMN03285327	SRR3130375	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
103	Listeria monocytogenes	AAAAEY.gz	AAAAEY010000001-AAAAEY010000021	21	3085184	BCT	2018-08-22	2020-03-09	PRJNA215355	SAMN02934645	SRR1535710	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
104	Listeria monocytogenes	AAAAEZ.gz	AAAAEZ010000001-AAAAEZ010000017	17	3060881	BCT	2018-08-22	2020-03-09	PRJNA215355	SAMN02923563	SRR3930182	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
105	Listeria monocytogenes	AAAAFA.gz	AAAAFA010000001-AAAAFA010000023	23	3183858	BCT	2018-08-22	2020-03-09	PRJNA215355	SAMN04943312	SRR3578997	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
106	Listeria monocytogenes	AAAAFB.gz	AAAAFB010000001-AAAAFB010000029	29	3165790	BCT	2018-08-22	2020-03-09	PRJNA215355	SAMN04931898	SRR3497933	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
107	Listeria monocytogenes	AAAAFC.gz	AAAAFC020000001-AAAAFC020000026	26	3061535	BCT	2018-08-22	2024-07-19	PRJNA215355	SAMN02850734	SRR1518560	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
108	Listeria monocytogenes	AAAAFD.gz	AAAAFD010000001-AAAAFD010000039	39	3070798	BCT	2018-08-22	2020-03-09	PRJNA215355	SAMN05044520	SRR3606548	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
109	Listeria monocytogenes	AAAAFE.gz	AAAAFE010000001-AAAAFE010000025	25	3074047	BCT	2018-08-22	2020-03-09	PRJNA215355	SAMN05589135	SRR4039750	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
110	Listeria monocytogenes	AAAAFF.gz	AAAAFF010000001-AAAAFF010000030	30	2994798	BCT	2018-09-26	2019-02-08	PRJNA212117	SAMN10133140	SRR7905045	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
